,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30,23,govt,190709,Graduate,12,Single,Service,Not-Family,White,Male,0,0,52,US,<=50K
31,20,private,266015,Graduate,10,Single,White-Collar,Family,Black,Male,0,0,44,US,<=50K
32,45,private,386940,Graduate,13,Separated,White-Collar,Family,White,Male,0,1408,40,US,<=50K
33,30,govt,59951,Graduate,10,Married,White-Collar,Family,White,Male,0,0,40,US,<=50K
34,22,govt,311512,Graduate,10,Married,Service,Family,Black,Male,0,0,15,US,<=50K
35,48,private,242406,NonGraduate,7,Single,Blue-Collar,Not-Family,White,Male,0,0,40,Non-US,<=50K
36,21,private,197200,Graduate,10,Single,Blue-Collar,Family,White,Male,0,0,40,US,<=50K
37,19,private,544091,NonGraduate,9,Married,White-Collar,Family,White,Female,0,0,25,US,<=50K
38,31,private,84154,Graduate,10,Married,White-Collar,Family,White,Male,0,0,38,,>50K
39,48,self_emp,265477,Graduate,12,Married,White-Collar,Family,White,Male,0,0,40,US,<=50K
40,31,private,507875,NonGraduate,5,Married,Blue-Collar,Family,White,Male,0,0,43,US,<=50K
41,53,self_emp,88506,Graduate,13,Married,White-Collar,Family,White,Male,0,0,40,US,<=50K
42,24,private,172987,Graduate,13,Married,White-Collar,Family,White,Male,0,0,50,US,<=50K
43,49,private,94638,NonGraduate,9,Separated,White-Collar,Not-Family,White,Female,0,0,40,US,<=50K
44,25,private,289980,NonGraduate,9,Single,Blue-Collar,Not-Family,White,Male,0,0,35,US,<=50K
45,57,govt,337895,Graduate,13,Married,White-Collar,Family,Black,Male,0,0,40,US,>50K
46,53,private,144361,NonGraduate,9,Married,Blue-Collar,Family,White,Male,0,0,38,US,<=50K
47,44,private,128354,Graduate,14,Separated,White-Collar,Not-Family,White,Female,0,0,40,US,<=50K
48,41,govt,101603,Graduate,11,Married,Blue-Collar,Family,White,Male,0,0,40,US,<=50K
49,29,private,271466,Graduate,11,Single,White-Collar,Not-Family,White,Male,0,0,43,US,<=50K
50,25,private,32275,Graduate,10,Married,White-Collar,Family,Other,Female,0,0,40,US,<=50K
51,18,private,226956,NonGraduate,9,Single,Service,Family,White,Female,0,0,30,,<=50K
52,47,private,51835,Graduate,15,Married,White-Collar,Family,White,Female,0,1902,60,Non-US,>50K
53,50,govt,251585,Graduate,13,Separated,White-Collar,Not-Family,White,Male,0,0,55,US,>50K
54,47,self_emp,109832,NonGraduate,9,Separated,White-Collar,Not-Family,White,Male,0,0,60,US,<=50K
55,43,private,237993,Graduate,10,Married,White-Collar,Family,White,Male,0,0,40,US,>50K
56,46,private,216666,NonGraduate,3,Married,Blue-Collar,Family,White,Male,0,0,40,Non-US,<=50K
57,35,private,56352,Graduate,11,Married,Service,Family,White,Male,0,0,40,Non-US,<=50K
58,41,private,147372,NonGraduate,9,Married,White-Collar,Family,White,Male,0,0,48,US,<=50K
59,30,private,188146,NonGraduate,9,Married,Blue-Collar,Family,White,Male,5013,0,40,US,<=50K
60,30,private,59496,Graduate,13,Married,White-Collar,Family,White,Male,2407,0,40,US,<=50K
61,32,,293936,NonGraduate,4,Separated,,Not-Family,White,Male,0,0,40,,<=50K
62,48,private,149640,NonGraduate,9,Married,Blue-Collar,Family,White,Male,0,0,40,US,<=50K
63,42,private,116632,Graduate,16,Married,White-Collar,Family,White,Male,0,0,45,US,>50K
64,29,private,105598,Graduate,10,Separated,White-Collar,Not-Family,White,Male,0,0,58,US,<=50K
65,36,private,155537,NonGraduate,9,Married,Blue-Collar,Family,White,Male,0,0,40,US,<=50K
66,28,private,183175,Graduate,10,Separated,White-Collar,Not-Family,White,Female,0,0,40,US,<=50K
67,53,private,169846,NonGraduate,9,Married,White-Collar,Family,White,Female,0,0,40,US,>50K
68,49,self_emp,191681,Graduate,10,Married,White-Collar,Family,White,Male,0,0,50,US,>50K
69,25,,200681,Graduate,10,Single,,Family,White,Male,0,0,40,US,<=50K
70,19,private,101509,Graduate,10,Single,White-Collar,Family,White,Male,0,0,32,US,<=50K
71,31,private,309974,Graduate,13,Separated,White-Collar,Family,Black,Female,0,0,40,US,<=50K
72,29,self_emp,162298,Graduate,13,Married,White-Collar,Family,White,Male,0,0,70,US,>50K
73,23,private,211678,Graduate,10,Single,Blue-Collar,Not-Family,White,Male,0,0,40,US,<=50K
74,79,private,124744,Graduate,10,Married,White-Collar,Family,White,Male,0,0,20,US,<=50K
75,27,private,213921,NonGraduate,9,Single,Service,Family,White,Male,0,0,40,Non-US,<=50K
76,40,private,32214,Graduate,12,Married,White-Collar,Family,White,Male,0,0,40,US,<=50K
77,67,,212759,NonGraduate,6,Married,,Family,White,Male,0,0,2,US,<=50K
78,18,private,309634,NonGraduate,7,Single,Service,Family,White,Female,0,0,22,US,<=50K
79,31,govt,125927,NonGraduate,4,Married,Blue-Collar,Family,White,Male,0,0,40,US,<=50K
80,18,private,446839,NonGraduate,9,Single,White-Collar,Not-Family,White,Male,0,0,30,US,<=50K
81,52,private,276515,Graduate,13,Married,Service,Family,White,Male,0,0,40,Non-US,<=50K
82,46,private,51618,NonGraduate,9,Married,Service,Family,White,Female,0,0,40,US,<=50K
83,59,private,159937,NonGraduate,9,Married,White-Collar,Family,White,Male,0,0,48,US,<=50K
84,44,private,343591,NonGraduate,9,Separated,Blue-Collar,Not-Family,White,Female,14344,0,40,US,>50K
85,53,private,346253,NonGraduate,9,Separated,White-Collar,Family,White,Female,0,0,35,US,<=50K
86,49,govt,268234,NonGraduate,9,Married,Service,Family,White,Male,0,0,40,US,>50K
87,33,private,202051,Graduate,14,Married,White-Collar,Family,White,Male,0,0,50,US,<=50K
88,30,private,54334,NonGraduate,5,Single,White-Collar,Not-Family,White,Male,0,0,40,US,<=50K
89,43,govt,410867,Graduate,16,Single,White-Collar,Not-Family,White,Female,0,0,50,US,>50K
90,57,private,249977,Graduate,11,Married,White-Collar,Family,White,Male,0,0,40,US,<=50K
91,37,private,286730,Graduate,10,Separated,Blue-Collar,Not-Family,White,Female,0,0,40,US,<=50K
92,28,private,212563,Graduate,10,Separated,Blue-Collar,Not-Family,Black,Female,0,0,25,US,<=50K
93,30,private,117747,NonGraduate,9,Married,White-Collar,Family,Asian-Pac-Islander,Female,0,1573,35,,<=50K
94,34,govt,226296,Graduate,13,Married,Service,Family,White,Male,0,0,40,US,>50K
95,29,govt,115585,Graduate,10,Single,Blue-Collar,Not-Family,White,Male,0,0,50,US,<=50K
96,48,self_emp,191277,Graduate,16,Married,White-Collar,Family,White,Male,0,1902,60,US,>50K
97,37,private,202683,Graduate,10,Married,White-Collar,Family,White,Male,0,0,48,US,>50K
98,48,private,171095,Graduate,12,Separated,White-Collar,Not-Family,White,Female,0,0,40,Non-US,<=50K
99,32,govt,249409,NonGraduate,9,Single,Service,Family,Black,Male,0,0,40,US,<=50K
100,76,private,124191,Graduate,14,Married,White-Collar,Family,White,Male,0,0,40,US,>50K
101,44,private,198282,Graduate,13,Married,White-Collar,Family,White,Male,15024,0,60,US,>50K
102,47,self_emp,149116,Graduate,14,Single,White-Collar,Not-Family,White,Female,0,0,50,US,<=50K
103,20,private,188300,Graduate,10,Single,White-Collar,Family,White,Female,0,0,40,US,<=50K
104,29,private,103432,NonGraduate,9,Single,Blue-Collar,Not-Family,White,Male,0,0,40,US,<=50K
105,32,self_emp,317660,NonGraduate,9,Married,Blue-Collar,Family,White,Male,7688,0,40,US,>50K
106,17,,304873,NonGraduate,6,Single,,Family,White,Female,34095,0,32,US,<=50K
107,30,private,194901,NonGraduate,7,Single,Blue-Collar,Family,White,Male,0,0,40,US,<=50K
108,31,govt,189265,NonGraduate,9,Single,White-Collar,Not-Family,White,Female,0,0,40,US,<=50K
109,42,private,124692,NonGraduate,9,Married,Blue-Collar,Family,White,Male,0,0,40,US,<=50K
110,24,private,432376,Graduate,13,Single,White-Collar,Family,White,Male,0,0,40,US,<=50K
111,38,private,65324,Graduate,15,Married,White-Collar,Family,White,Male,0,0,40,US,>50K
112,56,self_emp,335605,NonGraduate,9,Married,Service,Family,White,Male,0,1887,50,Non-US,>50K
113,28,private,377869,Graduate,10,Married,White-Collar,Family,White,Female,4064,0,25,US,<=50K
114,36,private,102864,NonGraduate,9,Single,Blue-Collar,Family,White,Female,0,0,40,US,<=50K
115,53,private,95647,NonGraduate,5,Married,Blue-Collar,Family,White,Male,0,0,50,US,<=50K
116,56,self_emp,303090,Graduate,10,Married,White-Collar,Family,White,Male,0,0,50,US,<=50K
117,49,govt,197371,Graduate,11,Married,Blue-Collar,Family,Black,Male,0,0,40,US,>50K
118,55,private,247552,Graduate,10,Married,White-Collar,Family,White,Male,0,0,56,US,<=50K
119,22,private,102632,NonGraduate,9,Single,Blue-Collar,Not-Family,White,Male,0,0,41,US,<=50K
120,21,private,199915,Graduate,10,Single,Service,Family,White,Female,0,0,40,US,<=50K
121,40,private,118853,Graduate,13,Married,White-Collar,Family,White,Male,0,0,60,US,<=50K
122,30,private,77143,Graduate,13,Single,White-Collar,Family,Black,Male,0,0,40,Non-US,<=50K
123,29,govt,267989,Graduate,13,Married,White-Collar,Family,White,Male,0,0,50,US,>50K
124,19,private,301606,Graduate,10,Single,Service,Family,Black,Male,0,0,35,US,<=50K
125,47,private,287828,Graduate,13,Married,White-Collar,Family,White,Female,0,0,40,US,>50K
126,20,private,111697,Graduate,10,Single,White-Collar,Family,White,Female,0,1719,28,US,<=50K
127,31,private,114937,Graduate,12,Married,White-Collar,Family,White,Male,0,0,40,US,>50K
128,35,,129305,NonGraduate,9,Married,,Family,White,Male,0,0,40,US,<=50K
129,39,private,365739,Graduate,10,Separated,Blue-Collar,Not-Family,White,Male,0,0,40,US,<=50K
130,28,private,69621,Graduate,12,Single,White-Collar,Not-Family,White,Female,0,0,60,US,<=50K
131,24,private,43323,NonGraduate,9,Single,Service,Not-Family,White,Female,0,1762,40,US,<=50K
132,38,self_emp,120985,NonGraduate,9,Married,Blue-Collar,Family,White,Male,4386,0,35,US,<=50K
133,37,private,254202,Graduate,13,Married,White-Collar,Family,White,Male,0,0,50,US,<=50K
134,46,private,146195,Graduate,12,Separated,White-Collar,Not-Family,Black,Female,0,0,36,US,<=50K
135,38,govt,125933,Graduate,14,Married,White-Collar,Family,White,Male,0,0,40,Non-US,>50K
136,43,self_emp,56920,NonGraduate,9,Married,Blue-Collar,Family,White,Male,0,0,60,US,<=50K
137,27,private,163127,Graduate,11,Married,White-Collar,Family,White,Female,0,0,35,US,<=50K
138,20,private,34310,Graduate,10,Single,White-Collar,Family,White,Male,0,0,20,US,<=50K
139,49,private,81973,Graduate,10,Married,Blue-Collar,Family,Asian-Pac-Islander,Male,0,0,40,US,>50K
140,61,self_emp,66614,NonGraduate,9,Married,Blue-Collar,Family,White,Male,0,0,40,US,<=50K
141,27,private,232782,Graduate,10,Single,White-Collar,Family,White,Female,0,0,40,US,<=50K
142,19,private,316868,Graduate,10,Single,Service,Family,White,Male,0,0,30,Non-US,<=50K
143,45,private,196584,Graduate,11,Single,White-Collar,Not-Family,White,Female,0,1564,40,US,>50K
144,70,private,105376,Graduate,10,Single,White-Collar,Family,White,Male,0,0,40,US,<=50K
145,31,private,185814,NonGraduate,9,Single,Blue-Collar,Not-Family,Black,Female,0,0,30,US,<=50K
146,22,private,175374,Graduate,10,Married,Service,Family,White,Male,0,0,24,US,<=50K
147,36,private,108293,NonGraduate,9,Separated,Service,Not-Family,White,Female,0,0,24,US,<=50K
148,64,private,181232,NonGraduate,7,Married,Blue-Collar,Family,White,Male,0,2179,40,US,<=50K
149,43,,174662,Graduate,10,Separated,,Not-Family,White,Female,0,0,40,US,<=50K
150,47,govt,186009,Graduate,10,Separated,White-Collar,Not-Family,White,Female,0,0,38,Non-US,<=50K
151,34,private,198183,NonGraduate,9,Single,White-Collar,Not-Family,White,Female,0,0,40,US,<=50K
152,33,private,163003,Graduate,13,Single,White-Collar,Family,Asian-Pac-Islander,Female,0,0,40,Non-US,<=50K
153,21,private,296158,NonGraduate,9,Single,Blue-Collar,Family,White,Male,0,0,35,US,<=50K
154,52,,252903,NonGraduate,9,Separated,,Not-Family,White,Male,0,0,45,US,>50K
155,48,private,187715,NonGraduate,9,Married,Blue-Collar,Family,White,Male,0,0,46,US,<=50K
156,23,private,214542,Graduate,13,Single,Blue-Collar,Not-Family,White,Male,0,0,40,US,<=50K
157,71,self_emp,494223,Graduate,10,Separated,White-Collar,Not-Family,Black,Male,0,1816,2,US,<=50K
158,29,private,191535,NonGraduate,9,Separated,Blue-Collar,Not-Family,White,Male,0,0,60,US,<=50K
159,42,private,228456,Graduate,13,Separated,Service,Family,Black,Male,0,0,50,US,<=50K
160,68,,38317,NonGraduate,2,Separated,,Not-Family,White,Female,0,0,20,US,<=50K
161,25,private,252752,NonGraduate,9,Single,Service,Not-Family,White,Female,0,0,40,US,<=50K
162,44,self_emp,78374,Graduate,14,Separated,White-Collar,Not-Family,Asian-Pac-Islander,Female,0,0,40,US,<=50K
163,28,private,88419,NonGraduate,9,Single,White-Collar,Not-Family,Asian-Pac-Islander,Female,0,0,40,Non-US,<=50K
164,45,self_emp,201080,Graduate,14,Married,White-Collar,Family,White,Male,0,0,40,US,>50K
165,36,private,207157,Graduate,10,Separated,Service,Not-Family,White,Female,0,0,40,Non-US,<=50K
166,39,govt,235485,Graduate,12,Single,White-Collar,Not-Family,White,Male,0,0,42,US,<=50K
167,46,govt,102628,Graduate,14,Separated,Service,Not-Family,White,Male,0,0,40,US,<=50K
168,18,private,25828,NonGraduate,7,Single,Blue-Collar,Family,White,Male,0,0,16,US,<=50K
169,66,govt,54826,Graduate,11,Separated,White-Collar,Not-Family,White,Female,0,0,20,US,<=50K
170,27,private,124953,NonGraduate,9,Single,Service,Not-Family,White,Male,0,1980,40,US,<=50K
171,28,govt,175325,NonGraduate,9,Married,Service,Family,White,Male,0,0,40,US,<=50K
172,51,private,96062,Graduate,10,Married,White-Collar,Family,White,Male,0,1977,40,US,>50K
173,27,private,428030,Graduate,13,Single,Blue-Collar,Not-Family,White,Male,0,0,50,US,<=50K
174,28,govt,149624,Graduate,13,Married,White-Collar,Family,White,Male,0,0,40,US,>50K
175,27,private,253814,NonGraduate,9,Separated,White-Collar,Not-Family,White,Female,0,0,25,US,<=50K
176,21,private,312956,NonGraduate,9,Single,Blue-Collar,Family,Black,Male,0,0,40,US,<=50K
177,34,private,483777,NonGraduate,9,Single,Blue-Collar,Not-Family,Black,Male,0,0,40,US,<=50K
178,18,private,183930,NonGraduate,9,Single,Service,Family,White,Male,0,0,12,US,<=50K
179,33,private,37274,Graduate,13,Married,White-Collar,Family,White,Male,0,0,65,US,<=50K
180,44,govt,181344,Graduate,10,Married,White-Collar,Family,Black,Male,0,0,38,US,>50K
181,43,private,114580,Graduate,10,Separated,White-Collar,Not-Family,White,Female,0,0,40,US,<=50K
182,30,private,633742,Graduate,10,Single,Blue-Collar,Not-Family,Black,Male,0,0,45,US,<=50K
183,40,private,286370,NonGraduate,4,Married,Blue-Collar,Family,White,Male,0,0,40,Non-US,>50K
184,37,govt,29054,Graduate,10,Married,White-Collar,Family,White,Male,0,0,42,US,>50K
185,34,private,304030,NonGraduate,9,Married,White-Collar,Family,Black,Male,0,0,40,US,<=50K
186,41,self_emp,143129,Graduate,13,Separated,White-Collar,Not-Family,White,Female,0,0,40,US,<=50K
187,53,,135105,Graduate,13,Separated,,Not-Family,White,Female,0,0,50,US,<=50K
188,31,private,99928,Graduate,14,Married,White-Collar,Family,White,Female,0,0,50,US,<=50K
189,58,govt,109567,Graduate,16,Married,White-Collar,Family,White,Male,0,0,1,US,>50K
190,38,private,155222,Graduate,10,Separated,Blue-Collar,Not-Family,Black,Female,0,0,28,US,<=50K
191,24,private,159567,Graduate,10,Married,Blue-Collar,Family,White,Male,0,0,40,US,<=50K
192,41,govt,523910,Graduate,13,Married,Blue-Collar,Family,Black,Male,0,0,40,US,<=50K
193,47,private,120939,Graduate,10,Married,White-Collar,Family,White,Male,0,0,45,US,<=50K
194,41,govt,130760,Graduate,13,Married,White-Collar,Family,White,Male,0,0,24,US,<=50K
195,23,private,197387,NonGraduate,3,Married,Blue-Collar,Family,White,Male,0,0,40,Non-US,<=50K
196,36,private,99374,Graduate,10,Separated,Blue-Collar,Not-Family,White,Male,0,0,40,US,<=50K
197,40,govt,56795,Graduate,14,Single,White-Collar,Not-Family,White,Female,14084,0,55,US,>50K
198,35,private,138992,Graduate,14,Married,White-Collar,Family,White,Male,7298,0,40,US,>50K
199,24,self_emp,32921,NonGraduate,9,Single,White-Collar,Not-Family,White,Male,0,0,40,US,<=50K
200,26,private,397317,Graduate,14,Single,White-Collar,Not-Family,White,Female,0,1876,40,US,<=50K
201,19,,170653,NonGraduate,9,Single,,Family,White,Male,0,0,40,Non-US,<=50K
202,51,private,259323,Graduate,13,Married,White-Collar,Family,White,Male,0,0,50,US,>50K
203,42,govt,254817,Graduate,10,Single,White-Collar,Not-Family,White,Female,0,1340,40,US,<=50K
204,37,govt,48211,NonGraduate,9,Separated,White-Collar,Not-Family,White,Female,0,0,35,US,<=50K
205,18,private,140164,NonGraduate,7,Single,White-Collar,Family,White,Female,0,0,40,US,<=50K
206,36,private,128757,Graduate,13,Married,Service,Family,Black,Male,7298,0,36,US,>50K
207,35,private,36270,NonGraduate,9,Separated,Blue-Collar,Not-Family,White,Male,0,0,60,US,<=50K
208,58,self_emp,210563,NonGraduate,9,Married,White-Collar,Family,White,Female,15024,0,35,US,>50K
209,17,private,65368,NonGraduate,7,Single,White-Collar,Family,White,Female,0,0,12,US,<=50K
210,44,govt,160943,NonGraduate,9,Married,Blue-Collar,Family,Black,Male,0,0,40,US,<=50K
211,37,private,208358,NonGraduate,9,Married,Blue-Collar,Family,White,Male,0,0,40,US,>50K
212,35,private,153790,Graduate,10,Single,White-Collar,Not-Family,Amer-Indian-Eskimo,Female,0,0,40,US,<=50K
213,60,private,85815,NonGraduate,9,Married,Blue-Collar,Family,Asian-Pac-Islander,Male,0,0,40,US,<=50K
214,54,self_emp,125417,NonGraduate,4,Married,Blue-Collar,Family,White,Male,0,0,40,US,>50K
215,37,private,635913,Graduate,13,Single,White-Collar,Not-Family,Black,Male,0,0,60,US,>50K
216,50,private,313321,Graduate,12,Separated,White-Collar,Not-Family,White,Female,0,0,40,US,<=50K
217,38,private,182609,Graduate,13,Married,White-Collar,Family,White,Male,0,0,50,Non-US,<=50K
218,45,private,109434,Graduate,13,Married,White-Collar,Family,White,Male,0,0,55,US,<=50K
219,25,private,255004,NonGraduate,6,Single,Blue-Collar,Not-Family,White,Male,0,0,40,US,<=50K
220,31,private,197860,Graduate,10,Married,Blue-Collar,Family,White,Male,0,0,40,US,<=50K
221,64,,187656,NonGraduate,2,Separated,,Not-Family,White,Male,0,0,40,US,<=50K
222,90,private,51744,NonGraduate,9,Single,Service,Not-Family,Black,Male,0,2206,40,US,<=50K
223,54,private,176681,NonGraduate,9,Married,White-Collar,Family,Black,Male,0,0,20,US,<=50K
224,53,govt,140359,NonGraduate,1,Single,Blue-Collar,Not-Family,White,Female,0,0,35,US,<=50K
225,18,private,243313,NonGraduate,9,Single,White-Collar,Family,White,Female,0,0,40,US,<=50K
226,60,,24215,NonGraduate,6,Separated,,Not-Family,Amer-Indian-Eskimo,Female,0,0,10,US,<=50K
227,66,self_emp,167687,NonGraduate,9,Married,Blue-Collar,Family,White,Male,1409,0,50,US,<=50K
228,75,private,314209,Graduate,11,Separated,White-Collar,Not-Family,White,Female,0,0,20,Non-US,<=50K
229,65,private,176796,NonGraduate,9,Separated,White-Collar,Not-Family,White,Female,0,0,40,US,<=50K
230,35,private,538583,NonGraduate,7,Separated,Blue-Collar,Not-Family,Black,Male,3674,0,40,US,<=50K
231,41,private,130408,NonGraduate,9,Separated,White-Collar,Not-Family,Black,Female,0,0,38,US,<=50K
232,25,private,159732,Graduate,10,Single,White-Collar,Not-Family,White,Male,0,0,42,US,<=50K
233,33,private,110978,Graduate,10,Separated,Blue-Collar,Family,Other,Female,0,0,40,US,<=50K
234,28,private,76714,Graduate,15,Single,White-Collar,Not-Family,White,Male,0,0,55,US,>50K
235,59,govt,268700,NonGraduate,9,Married,Service,Family,White,Male,0,0,40,US,<=50K
236,40,govt,170525,Graduate,10,Single,White-Collar,Not-Family,White,Female,0,0,38,US,<=50K
237,41,private,180138,Graduate,13,Married,White-Collar,Family,White,Male,0,0,50,Non-US,>50K
238,38,govt,115076,Graduate,14,Married,White-Collar,Family,White,Male,0,0,70,US,>50K
239,23,private,115458,NonGraduate,9,Single,Blue-Collar,Family,White,Male,0,0,40,US,<=50K
240,40,private,347890,Graduate,13,Married,White-Collar,Family,White,Male,0,0,40,US,>50K
241,41,self_emp,196001,NonGraduate,9,Married,Service,Family,White,Female,0,0,20,US,<=50K
242,24,govt,273905,Graduate,12,Married,Service,Family,White,Male,0,0,50,US,<=50K
243,20,,119156,Graduate,10,Single,,Family,White,Male,0,0,20,US,<=50K
244,38,private,179488,Graduate,10,Separated,Blue-Collar,Not-Family,White,Male,0,1741,40,US,<=50K
245,56,private,203580,NonGraduate,9,Married,White-Collar,Family,White,Male,0,0,35,,<=50K
246,58,private,236596,NonGraduate,9,Married,White-Collar,Family,White,Male,0,0,45,US,>50K
247,32,private,183916,NonGraduate,9,Single,Service,Not-Family,White,Female,0,0,34,US,<=50K
248,40,private,207578,Graduate,12,Married,White-Collar,Family,White,Male,0,1977,60,US,>50K
249,45,private,153141,NonGraduate,9,Married,White-Collar,Family,White,Male,0,0,40,,<=50K
250,41,private,112763,Graduate,15,Married,White-Collar,Family,White,Female,0,0,40,US,>50K
251,42,private,390781,Graduate,13,Married,White-Collar,Family,Black,Female,0,0,40,US,<=50K
252,59,govt,171328,NonGraduate,6,Separated,Service,Not-Family,Black,Female,0,0,30,US,<=50K
253,19,govt,27382,Graduate,10,Single,White-Collar,Family,White,Male,0,0,40,US,<=50K
254,58,private,259014,Graduate,10,Single,Blue-Collar,Not-Family,White,Male,0,0,20,US,<=50K
255,42,self_emp,303044,NonGraduate,9,Married,Blue-Collar,Family,Asian-Pac-Islander,Male,0,0,40,Non-US,>50K
256,20,private,117789,NonGraduate,9,Single,Service,Family,White,Female,0,0,40,US,<=50K
257,32,private,172579,NonGraduate,9,Separated,Service,Not-Family,White,Female,0,0,30,US,<=50K
258,45,private,187666,Graduate,11,Separated,White-Collar,Not-Family,White,Female,0,0,45,US,<=50K
259,50,private,204518,NonGraduate,4,Separated,Blue-Collar,Not-Family,White,Male,0,0,40,US,<=50K
260,36,private,150042,Graduate,13,Separated,White-Collar,Family,White,Female,0,0,40,US,<=50K
261,45,private,98092,NonGraduate,9,Married,White-Collar,Family,White,Male,0,0,60,US,<=50K
262,17,private,245918,NonGraduate,7,Single,Service,Family,White,Male,0,0,12,US,<=50K
263,59,private,146013,Graduate,10,Married,White-Collar,Family,White,Male,4064,0,40,US,<=50K
264,26,private,378322,NonGraduate,7,Married,Blue-Collar,Family,White,Male,0,0,40,US,<=50K
265,37,self_emp,257295,Graduate,10,Married,White-Collar,Family,Asian-Pac-Islander,Male,0,0,75,Non-US,>50K
266,19,,218956,Graduate,10,Single,,Family,White,Male,0,0,24,Non-US,<=50K
267,64,private,21174,NonGraduate,9,Married,White-Collar,Family,White,Male,0,0,40,US,>50K
268,33,private,185480,Graduate,13,Single,White-Collar,Not-Family,White,Female,0,0,45,US,<=50K
269,33,private,222205,NonGraduate,9,Married,Blue-Collar,Family,White,Female,0,0,40,US,>50K
270,61,private,69867,NonGraduate,9,Married,White-Collar,Family,White,Male,0,0,40,US,>50K
271,17,private,191260,NonGraduate,5,Single,Service,Family,White,Male,1055,0,24,US,<=50K
272,50,self_emp,30653,Graduate,14,Married,Blue-Collar,Family,White,Male,2407,0,98,US,<=50K
273,27,govt,209109,Graduate,14,Single,White-Collar,Family,White,Male,0,0,35,US,<=50K
274,30,private,70377,NonGraduate,9,Separated,White-Collar,Family,White,Female,0,0,40,US,<=50K
275,43,private,477983,NonGraduate,9,Married,Blue-Collar,Family,Black,Male,0,0,40,US,<=50K
276,44,private,170924,Graduate,10,Married,Blue-Collar,Family,White,Male,7298,0,40,US,>50K
277,35,private,190174,Graduate,10,Single,White-Collar,Not-Family,White,Female,0,0,40,US,<=50K
278,25,private,193787,Graduate,10,Single,White-Collar,Family,White,Female,0,0,40,US,<=50K
279,24,private,279472,Graduate,10,Married,Blue-Collar,Family,White,Female,7298,0,48,US,>50K
280,22,private,34918,Graduate,13,Single,White-Collar,Not-Family,White,Female,0,0,15,Non-US,<=50K
